"Date","RTA","FP","Market","Period"
2018-07-31,0.00724583816973401,1.88254852294922,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-01,0.011405101759692,1.83235015869141,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-02,0.0117678828325539,2.16455268859863,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-03,0.00454752087872059,1.58299903869629,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-06,0.00360195028478475,1.47074966430664,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-07,0.00566110751603911,1.69174880981445,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-08,0.00543077889177297,1.58830146789551,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-09,0.00606638089616824,1.45895195007324,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-10,0.0033968391227849,1.53920021057129,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-13,0.00626409975197057,1.77789764404297,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-14,0.00483212339722678,1.31554794311523,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-15,0.00911499111059701,2.40535278320313,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-16,0.00942750999053462,2.17975044250488,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-17,0.00572537060589282,1.8299976348877,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-20,0.00748636564130422,1.6941967010498,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-21,0.00645709572476656,1.85170135498047,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-22,0.00694827623501056,1.59380035400391,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-23,0.00455486147446109,1.5109504699707,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-24,0.00449337111324943,1.12110061645508,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-27,0.0053536524725316,1.95834884643555,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-28,0.00422789025147389,1.4003002166748,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-29,0.00805517860784498,1.45075187683105,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-30,0.00422705281994608,1.5908504486084,"USA","P1: 2018-2019 (Pre-COVID)"
2018-08-31,0.00633403830771333,1.39195327758789,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-04,0.00614602147936429,1.99025077819824,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-05,0.0115717039760887,2.22369842529297,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-06,0.00951783739556488,2.42770233154297,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-07,0.00461561045598711,1.97375221252441,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-10,0.00910227763094634,2.26010055541992,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-11,0.00996855972935718,2.62389984130859,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-12,0.00896298305643831,2.57580261230469,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-13,0.00559157357731045,1.82015113830566,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-14,0.00576372453824903,1.65515098571777,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-17,0.00989230379956644,2.0670482635498,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-18,0.0057534943988162,2.19404754638672,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-19,0.00965420178438234,2.6406494140625,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-20,0.00488977279418275,1.78599853515625,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-21,0.00782362481682382,2.02580337524414,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-24,0.0118644906512579,2.33315200805664,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-25,0.00664988124471114,1.70730094909668,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-26,0.00462655495437185,1.95239753723145,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-27,0.00632000751284146,1.5434009552002,"USA","P1: 2018-2019 (Pre-COVID)"
2018-09-28,0.00698567778413102,1.89779815673828,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-01,0.00573302440029413,1.90369873046875,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-02,0.00771322904079859,2.0843505859375,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-03,0.00978935271453937,2.18469924926758,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-04,0.00842013792215838,2.6826488494873,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-05,0.00276843242389065,2.68400077819824,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-08,0.00627904670656058,2.79570007324219,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-09,0.00601264127575118,1.93229904174805,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-10,0.00775549799112796,5.00825042724609,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-11,0.0140619502168753,4.7510009765625,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-12,0.0141318180462845,4.12309837341309,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-15,0.00840623467459267,2.5390998840332,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-16,0.00509167603346247,3.13340148925781,"USA","P1: 2018-2019 (Pre-COVID)"
2018-10-17,0.0104189159064399,2.96049728393555,"USA","P1: 2018-2019 (Pre-COVID)"
